mizar_ref,stop_id,nome
536,222,VIA DEL CONERO - EMILIA
537,223,POGGIO - TRATTORIA MAFALDA
538,224,POGGIO COSTA
539,225,VIA DEL POGGIO (Incr. CAMERANO)
540,226,POGGIO ALTO
541,227,PROVINCIALE DEL CONERO
542,228,2^ PROVINCIALE DEL CONERO
543,229,3^ PROVINCIALE DEL CONERO
544,230,MASSIGNANO (PAESE)
545,231,MASSIGNANO (CAPOLINEA)
546,232,MASSIGNANO
547,233,1^ PROVINCIALE DEL CONERO
548,234,2^ PROVINCIALE DEL CONERO
549,235,VIA DEL CONERO - MARINA
550,236,POGGIO COSTA
551,237,POGGIO
552,238,VIA DEL POGGIO
553,239,9^ VIA DEL CONERO
554,240,POGGIO - Mafalda
555,241,VIA DEL CONERO
556,242,BIVIO PORTONOVO
557,243,VIA DEL CONERO - MEZZAVALLE
558,244,VIA DEL CONERO - LAVANDA
559,245,VIA DEL CONERO - MARINA
560,246,V.DEL CONERO (Sabattini)
561,247,VIA DEL CONERO - BOSDARI
562,248,VIA DEL CONERO - SARDELLA
563,249,VIA DEL CONERO - CAPANNACCIA
564,250,VIA DEL CONERO - LA VEDOVA
565,251,11^ VIA DEL CONERO
566,252,VIA DEL CONERO - CASACCIA
567,253,13^ VIA DEL CONERO
568,254,PIETRALACROCE - Baffo
569,255,PIETRALACROCE - Cimitero
570,256,15 a VIA DEL CONERO
571,257,16 a VIA DEL CONERO
572,258,VIA S. MARGHERITA
573,259,VIA S. MARGHERITA
574,260,VIA S. MARGHERITA
575,261,VIA S. MARGHERITA
576,262,VIA S. MARGHERITA
577,263,P.le Libertà
578,264,1^ VIA BOCCONI
579,265,Via Bocconi - Sede Conerobus
580,266,LARGO BOVIO
581,267,1^ MIANO
582,268,VIA MIANO
583,269,1^ VIA RAFFAELLO SANZIO
584,270,2^ VIA RAFFAELLO SANZIO
585,271,3^ VIA RAFFAELLO SANZIO
586,272,Piazza Sangallo - Capodimonte
587,273,VIA TORRIONI
588,274,VIA MONTEBELLO
589,275,1^ VIA VENETO
590,276,2^ VIA VENETO
591,277,3^ VIA VENETO
592,278,VIA PODGORA
593,279,VIA POLA
594,280,VIA Thaon de Revel
595,281,VIA THAON DE REVEL
596,282,VIA T.DE REVEL (Piscina)
598,284,1^ VIA S. MARGHERITA
599,285,2^ VIA S. MARGHERITA
600,286,3^ VIA S. MARGHERITA
601,287,4^ VIA S. MARGHERITA
602,288,5^ VIA S. MARGHERITA
603,289,Piazza P.IV NOVEMBRE
607,293,VIA PANORAMICA
608,294,VIA CESARE BATTISTI
610,295,CORSO AMENDOLA
611,296,Piazza DON MINZONI
612,297,1^ VIA CADORE
613,298,2^ VIA CADORE
615,300,"Stazione F.S. (Cap. 94, 37)"
616,301,1^ VIA RISMONDO
617,302,2^ VIA RISMONDO
618,303,VIA PANORAMICA
619,304,VIA BARACCA
620,305,1^ VIA PODGORA
621,306,2^ VIA PODGORA
622,307,VIA TAGLIAMENTO
623,308,2^ VIA TAGLIAMENTO
624,309,3^ VIA TAGLIAMENTO
625,310,3a VIA ISONZO
626,311,1^ VIA VENETO
627,312,2^ VIA VENETO
628,313,3^ VIA VENETO
629,314,Stazione F.S. (Cap. 41)
630,315,VIA DELLA MARINA
631,316,1^ VIA DELLA MONTAGNOLA
632,317,2^ VIA DELLA MONTAGNOLA
633,318,Ospedale Geriatrico
634,319,1^ VIA MANZONI
635,320,2^ VIA MANZONI
636,321,3^ VIA MANZONI
637,322,VIA MONTALE
638,323,VIA BARILATTI
639,324,Via Dell'Artigianato
640,325,2^ VIA DELL'ARTIGIANATO
641,326,VIA DEL COMMERCIO
642,327,VIA DELLE PALOMBARE
643,328,Tavernelle - Capolinea 43
644,329,Via A. Ninchi - Passo Varano
645,330,Via Cimetta a
646,331,1^ STRADA COMUNALE PASSO VARANO
647,332,2^ STRADA COMUNALE PASSO VARANO
648,333,BIVIO MONTACUTO (A)
649,334,1^ VIA FORNACI
650,335,2^ VIA FORNACI
651,336,3^ VIA FORNACI
652,337,ZONA BALLARINI
653,338,1^ STRADA COMUNALE PASSO VARANO
654,339,2^ STRADA COMUNALE PASSO VARANO
655,340,3^ STRADA COMUNALE PASSO VARANO
656,341,4^ STRADA COMUNALE PASSO VARANO
657,342,VARANO
658,343,1^ BORGO SAN PIETRO
659,344,2^ BORGO SAN PIETRO
660,345,3^ BORGO SAN PIETRO
661,346,4^ BORGO SAN PIETRO
662,347,BIVIO MONTACUTO (R)
663,348,VIA MAESTRI DEL LAVORO
664,349,1^ VIA FLAVIA
665,350,2^ VIA FLAVIA
666,351,3^ VIA FLAVIA
667,352,VIA FLAVIA (P.D'ACQUISTO)
668,353,6^ VIA FLAVIA
669,354,7^ VIA FLAVIA
670,355,1^ VIA RUGGERI
671,356,2^ VIA FLAVIA
672,357,3^ VIA FLAVIA
673,358,4 ^ VIA FLAVIA
674,359,VIA FLAVIA (SCUOLE MICH.)
675,360,7^ VIA FLAVIA
676,361,8^ VIA FLAVIA
677,362,VIA M.LAVORO
678,363,PASSO VARANO
679,364,STRADA COMUNALE PASSO VARANO
680,365,Via Cimetta r
681,366,VIA CAMERANENSE
682,367,1^ VIA MAGGINI
683,368,St. Vecchia Pinocchio  (CIMITERO)
684,369,2^ STRADA VECCHIA PINOCCHIO
685,370,4^ STRADA VECCHIA PINOCCHIO
686,371,VIA SPARAPANI
687,372,VIA SPARAPANI
688,373,1^ VIA TIRABOSCHI
689,374,2^ VIA TIRABOSCHI
690,375,3^ VIA TIRABOSCHI
691,376,4^ VIA TIRABOSCHI
692,377,5^ VIA TIRABOSCHI
693,378,1^ VIA TOGLIATTI
694,379,2^ VIA TOGLIATTI
695,380,VIA MAESTRI DEL LAVORO
696,381,VIA MAESTRI DEL LAVORO
698,383,1^ VIA TOGLIATTI
699,384,2^ VIA TOGLIATTI
700,385,1^ VIA TIRABOSCHI
701,386,2^ VIA TIRABOSCHI
702,387,3^ VIA TIRABOSCHI
703,388,4^ VIA TIRABOSCHI
704,389,5^ VIA TIRABOSCHI
705,390,Q3 - Via Sparapani
706,391,VIA SPARAPANI
707,392,3^ STRADA VECCHIA PINOCCHIO
708,393,4^ STRADA VECCHIA PINOCCHIO
709,394,Strada  Vecchia  Pinocchio
710,395,Piazza CAVOUR (Frazioni)
711,396,S.VECCHIA (INC.SPARAPANI)
712,397,S.VECCHIA (ANGELINI)
713,398,S.VECCHIA PINOCCHIO (SIDIS)
715,400,Piazza IV Novembre
716,401,VIA CADUTI DEL LAVORO camst
717,402,1^ VIA BRECCE BIANCHE
718,403,2^ VIA BRECCE BIANCHE
719,404,3^ VIA BRECCE BIANCHE
720,405,9^ VIA BRECCE BIANCHE
721,406,10^ VIA BRECCE BIANCHE
722,407,B.BIANCHE CAPOLINEA
723,408,1^ VIA BRECCE BIANCHE
724,409,2^ VIA BRECCE BIANCHE
725,410,3^ VIA BRECCE BIANCHE
726,411,4^ VIA BRECCE BIANCHE
727,412,5^ VIA BRECCE BIANCHE
728,413,2^ VIA CADUTI DEL LAVORO
1999,415,Viale 1° Maggio - rotatoria
730,416,1^ STRADA VECCHIA PINOCCHIO
731,417,2^ STRADA VECCHIA PINOCCHIO
733,419,VARIANTE (API)
734,420,STRADA STATALE 16
735,421,2^ STRADA STATALE 16
736,422,2^ STRADA STATALE 16
737,423,3^ STRADA STATALE 16
738,424,PONTELUNGO
740,426,2^ VIA MADONNETTA
741,427,3^ VIA MADONNETTA
742,428,4^ VIA MADONNETTA
743,429,5^ VIA MADONNETTA
744,430,1^ GHETTARELLO
745,431,2^ GHETTARELLO
746,432,3^ GHETTARELLO
747,433,4^ GHETTARELLO
748,434,5^ GHETTARELLO
749,435,1^ VIA SAPPANICO
750,436,3^ VIA SAPPANICO
751,437,4^ VIA SAPPANICO
752,438,5^ VIA SAPPANICO
753,439,6^ VIA SAPPANICO
754,440,7^ VIA SAPPANICO
755,441,1^ VIA MONTESICURO
756,442,2^ VIA MONTESICURO
757,443,3^ VIA MONTESICURO
758,444,4^ VIA MONTESICURO
759,445,5^ VIA MONTESICURO
760,446,MONTESICURO Capolinea
761,447,1^ VIA MONTESICURO
762,448,2^ VIA MONTESICURO
763,449,3^ VIA MONTESICURO
764,450,4^ VIA MONTESICURO
765,451,5^ VIA MONTESICURO
766,452,1^ VIA GALLIGNANO
767,453,2^ VIA GALLIGNANO
768,454,3^ VIA GALLIGNANO
769,455,5^ VIA GALLIGNANO
770,456,6^ VIA GALLIGNANO
771,457,MADONNA DELLE GRAZIE
772,458,1^ VIA S.LUIGI
773,459,2^ VIA S.LUIGI
774,460,SAN LUIGI
775,461,1^ MADONNA DELLE GRAZIE
776,462,2^ MADONNA DELLE GRAZIE
777,463,3^ MADONNA DELLE GRAZIE
778,464,GALLIGNANO
779,465,GALLIGNANO BIVIO
780,466,1^ VIA GALLIGNANO
781,467,2^ VIA GALLIGNANO
782,468,3^ VIA GALLIGNANO
783,469,4^ VIA GALLIGNANO
784,470,VIA SAPPANICO
785,471,2^ SAPPANICO
786,472,3^ VIA SAPPANICO
787,473,4^ VIA SAPPANICO
788,474,5^ VIA SAPPANICO
789,475,6^ VIA SAPPANICO
790,476,1^ GHETTARELLO
791,477,GHETTARELLO (PAESE)
792,478,2^ GHETTARELLO
793,479,3^ GHETTARELLO
794,480,GHETTARELLO (RAI)
795,481,3^ VIA MADONNETTA
796,482,4^ VIA MADONNETTA
797,483,5^ VIA MADONNETTA
798,484,2^ VIA MADONNETTA
799,486,Fornetto - Borgo
800,487,VIA FORNETTO (E.S.M.)
801,488,VIA FORNETTO
802,489,1^ VIA APPENNINI
803,490,2^ VIA APPENNINI
804,491,3^ VIA APPENNINI
805,492,4^ VIA APPENNINI
806,493,VIA CANDIA (BIVIO)
807,494,2^ VIA CANDIA
808,495,BIVIO CANDIA
809,496,4^ VIA CANDIA
810,497,VIA CANDIA - Villaggio Verde
811,498,6^ VIA CANDIA
812,499,7^ VIA CANDIA
813,500,8^ CANDIA
814,501,1^ VIA BOLIGNANO
815,502,2^ VIA BOLIGNANO
816,503,3^ VIA BOLIGNANO
817,504,VIA BOLIGNANO (CIMITERO)
818,505,5^ VIA BOLIGNANO
819,506,BOLIGNANO CAPOLINEA
820,507,1^ VIA BOLIGNANO
821,508,VIA BOLIGNANO (Cimitero)
822,509,3^ VIA BOLIGNANO
823,510,4^ VIA BOLIGNANO
824,511,5^ VIA BOLIGNANO
825,512,1^ CANDIA
826,513,2^ VIA CANDIA
827,514,3^ VIA CANDIA
828,515,VIA CANDIA  (Vill.Verde)
829,516,VIA CANDIA (Candiola)
830,517,VIA CANDIA (Grancia)
831,518,7^ VIA CANDIA
832,519,VIA CANDIA (Bivio)
833,520,VIA APPENNINI
834,521,VIA APPENNINI
835,522,VIA APPENNINI
836,523,VIA  APPENNINI
837,524,VIA FORNETTO (E.S.M.)R
838,525,Via Alpi
839,526,Fornetto - Borgo
840,527,VIA M.PENNINO
841,528,Piazza U.BASSI
842,529,VIA PASTORE
843,530,Viale 1° Maggio - rotatoria
844,531,Viale 1° Maggio - Bivio Candia
845,532,"Viale 1° Maggio, 98"
846,533,"Viale 1° Maggio, 154"
5123,551,Via Fioretti fermata provvisorio evento Halloween
5122,552,V. G. Umani - Fermarta provvisioria evento Hallowe
857,553,"Via Albertini, 6"
858,554,"Via Albertini, 16"
859,555,SS 16 - GLOBO
860,557,VIA URBINO
861,558,Via Urbino - Sc. Podesti
862,559,1^ VIA PESARO
863,560,2^ VIA PESARO
864,561,PIAZZALE CAMERINO
865,562,VIA SCRIMA
866,563,1^ VIA GROTTE
867,564,2 ^VIA GROTTE
868,565,3^ VIA GROTTE
869,566,VIA GROTTE (CIMITERO)
870,567,5^ VIA GROTTE
871,568,6^ VIA GROTTE
872,569,7^ VIA GROTTE
873,570,VIA GROTTE (CAMPO SPORTIVO)
874,571,VIA ESINO
875,572,2^ VIA ESINO
876,573,VIA METAURO
877,574,OSP.REG.(1^ INTERNA)
878,575,Ospedale Regionale
879,576,OSPEDALE (1^ INTERNA)
881,578,VIA CONCA
883,580,VIA METAURO
884,581,PROVINCIALE AGUGLIANO
885,582,PROVINCIALE AGUGLIANO
886,583,PROVINCIALE AGUGLIANO
887,584,PROVINCIALE AGUGLIANO
888,585,PROVINCIALE AGUGLIANO
889,586,CASINE DI PATERNO
